input,output
"Based on the following incident description: ""On January 1, 2013, Employee #1, with Cottage Bakery, Inc., was inspecting the d ough divider (Canol Extruder), when Employee #1's right hand entered a pinch poi nt, resulting in a laceration injury. Employee #1 was taken to the hospital."" What is the injury severity (1-4)?",2
"Based on the following incident description: ""At approximately 1:00 a.m. on January 2, 2013, Employee #1, an entertainer, was performing a dance on a second floor balcony. The patron was seated in a chair w ith his back to the balcony railing with Employee #1 facing him and the balcony. Employee #1 grabbed the balcony top rail to perform a jump type dance move and she toppled head first over the guard rail and fell approximately 15 feet to th e first floor.  Employee #1 was hospitalized and died on January 9, 2013 due to severe head injuries."" What is the injury severity (1-4)?",1
"Based on the following incident description: ""On January 2, 2013, Employee #1, with Rincon Recycling, Inc., was working with a  telescoping conveyor system (RISI Industries, Model Number: 30040-TA8, Serial N umber: 9) which transports paper waste into large metal containers. Employee #1  entered the area between two large containers to diagnose the source of a sound  coming from the take up pulley system of the conveyor. Employee #1 reached into  the unguarded take up pulley system with his gloved right hand, causing his righ t hand and arm to be caught by the pulley and pulled in. Employee #1 was taken t o the hospital, where he was treated for a right forearm compound fracture."" What is the injury severity (1-4)?",2
"Based on the following incident description: ""On January 2, 2013, two employees (Employee #1, Employee #2), with Archer-Daniel s-Midland Company, were removing outside man-way covers. Allegedly, when the sec ond man-way cover was removed, the employees re-entered a building. Apparently,  both Employee #1 and Employee #2 were exposed to carbon dioxide during these act ivities. Later, first shift coworkers entered the building and saw that both Emp loyee #1 and Employee #2 were unconscious. Emergency response rescue efforts wer e undertaken. Employee #1 was killed, and Employee #2 was hospitalized. Employee  #1 was killed by carbon dioxide exposure."" What is the injury severity (1-4)?",1
"Based on the following incident description: ""On January 2, 2013, Employee #1, with Cosmetic Laboratories of America, LLC, lac erated his finger while servicing a pneumatic valve on a pump. Employee #1 was n ot taken to the hospital."" What is the injury severity (1-4)?",3
"Based on the following incident description: ""On January 2, 2013, Employee #1, a printing machine operator with Quad/Graphic P rinting Corporation, reached into a stream feeder, and his right hand made conta ct with the chain and sprocket. Employee #1's right hand was lacerated. Employee  #1's finger on his right hand was caught in a nip point between the chain and t he sprocket. Employee #1 was taken to the hospital, where his hand was treated f or lacerations, but his finger sustained amputation."" What is the injury severity (1-4)?",3
"Based on the following incident description: ""On January 2, 2013, Employee #1 and Employee #2 were responding to work orders t o an over-heating issue, and an oil leak in boiler #1. Upon arrival they contact ed the head custodian at the school about the problems. Employee #1 was repairin g the leak and Employee #2 was cleaning up the leaking oil. Employee #1 repaired  the leaking flare fitting, and started the procedures to re-fire boiler #1. Emp loyee #2 was also located in front of boiler #1 and began cleaning up the leakin g oil. Employee #1 fired the boiler and within seconds an explosion occurred in  the breaching and duct of boiler #1 causing a large amount of soot and duct insu lation fell on the employees. Employee #1 and #2 were transported to Bayview Med ical Center, where they were treated for exposure to soot, dust, gas fumes, vapo r mist and smoke to their lungs. The employees remains hospitalized."" What is the injury severity (1-4)?",2
"Based on the following incident description: ""On January 2, 2013, Employee #1 and Employee #2 were responding to work orders t o an over-heating issue, and an oil leak in boiler #1. Upon arrival they contact ed the head custodian at the school about the problems. Employee #1 was repairin g the leak and Employee #2 was cleaning up the leaking oil. Employee #1 repaired  the leaking flare fitting, and started the procedures to re-fire boiler #1. Emp loyee #2 was also located in front of boiler #1 and began cleaning up the leakin g oil. Employee #1 fired the boiler and within seconds an explosion occurred in  the breaching and duct of boiler #1 causing a large amount of soot and duct insu lation fell on the employees. Employee #1 and #2 were transported to Bayview Med ical Center, where they were treated for exposure to soot, dust, gas fumes, vapo r mist and smoke to their lungs. The employees remains hospitalized."" What is the injury severity (1-4)?",2
"Based on the following incident description: ""On January 2, 2013, Employee #1 and Employee #2 were responding to work orders t o an over-heating issue, and an oil leak in boiler #1. Upon arrival they contact ed the head custodian at the school about the problems. Employee #1 was repairin g the leak and Employee #2 was cleaning up the leaking oil. Employee #1 repaired  the leaking flare fitting, and started the procedures to re-fire boiler #1. Emp loyee #2 was also located in front of boiler #1 and began cleaning up the leakin g oil. Employee #1 fired the boiler and within seconds an explosion occurred in  the breaching and duct of boiler #1 causing a large amount of soot and duct insu lation fell on the employees. Employee #1 and #2 were transported to Bayview Med ical Center, where they were treated for exposure to soot, dust, gas fumes, vapo r mist and smoke to their lungs. The employees remains hospitalized."" What is the injury severity (1-4)?",2
"Based on the following incident description: ""On January 2, 2013, Employee #1 and Employee #2 were responding to work orders t o an over-heating issue, and an oil leak in boiler #1. Upon arrival they contact ed the head custodian at the school about the problems. Employee #1 was repairin g the leak and Employee #2 was cleaning up the leaking oil. Employee #1 repaired  the leaking flare fitting, and started the procedures to re-fire boiler #1. Emp loyee #2 was also located in front of boiler #1 and began cleaning up the leakin g oil. Employee #1 fired the boiler and within seconds an explosion occurred in  the breaching and duct of boiler #1 causing a large amount of soot and duct insu lation fell on the employees. Employee #1 and #2 were transported to Bayview Med ical Center, where they were treated for exposure to soot, dust, gas fumes, vapo r mist and smoke to their lungs. The employees remains hospitalized."" What is the injury severity (1-4)?",2
"Based on the following incident description: ""On January 2, 2013, Employee #1, employed by a construction and erection company , was working at a manufacturing plant. He was using a mobile scaffold to access  the roof. Employee #1 apparently fell from the top of the scaffold to the concr ete floor. He was killed."" What is the injury severity (1-4)?",1
